shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10001,43.452909,-80.471682,240006
10001,43.452626,-80.472520,240007
10001,43.452626,-80.472520,250001
10001,43.452558,-80.472722,250002
10001,43.452189,-80.473781,250003
10001,43.451873,-80.474718,250004
10001,43.451873,-80.474718,260001
10001,43.451828,-80.474853,260002
10001,43.451562,-80.475636,260003
10001,43.451434,-80.475975,260004
10001,43.451057,-80.477104,260005
10001,43.450999,-80.477271,260006
10001,43.450999,-80.477271,270001
10001,43.450665,-80.478213,270002
10001,43.450280,-80.479336,270003
10001,43.450107,-80.479847,270004
10001,43.449785,-80.480758,270005
10001,43.449785,-80.480758,280001
10001,43.449538,-80.481458,280002
10001,43.449303,-80.481659,280003
10001,43.450518,-80.484332,280004
10001,43.450518,-80.484332,290001
10001,43.450595,-80.484499,290002
10001,43.451349,-80.486113,290003
10001,43.450317,-80.486946,290004
10001,43.449692,-80.487348,290005
10001,43.449376,-80.487543,290006
10001,43.449376,-80.487543,300001
10001,43.449176,-80.487665,300002
10001,43.449645,-80.488754,300003
10001,43.449645,-80.488754,310001
10001,43.449805,-80.489126,310002
10001,43.450315,-80.490398,310003
10001,43.450400,-80.490630,310004
10001,43.450400,-80.490630,320001
10001,43.450792,-80.491702,320002
10001,43.450971,-80.492173,320003
10001,43.451085,-80.492546,320004
10001,43.450581,-80.492810,320005
10001,43.450065,-80.493068,320006
10001,43.449804,-80.493206,320007
10001,43.449742,-80.493237,320008
10001,43.449618,-80.493300,320009
10001,43.449546,-80.493338,320010
10001,43.449369,-80.492892,320011
10001,43.449369,-80.492892,330001
10001,43.448858,-80.491600,330002
10001,43.448736,-80.491699,330003
10001,43.448504,-80.491893,330004
10001,43.447997,-80.491022,330005
10001,43.447594,-80.491461,330006
10001,43.447119,-80.491950,330007
10001,43.447119,-80.491950,340001
10001,43.446737,-80.492343,340002
10001,43.446142,-80.492930,340003
10001,43.445815,-80.493258,340004
10001,43.445815,-80.493258,350001
10001,43.445804,-80.493269,350002
10001,43.445547,-80.493542,350003
10001,43.445255,-80.493832,350004
10001,43.444951,-80.494150,350005
10001,43.444676,-80.494429,350006
10001,43.444676,-80.494429,360001
10001,43.444352,-80.494758,360002
10001,43.444260,-80.494847,360003
10001,43.443170,-80.495959,360004
10001,43.442435,-80.496700,360005
10001,43.442435,-80.496700,370001
10001,43.442356,-80.496781,370002
10001,43.442118,-80.497030,370003
10001,43.441741,-80.497403,370004
10001,43.441133,-80.498033,370005
10001,43.441021,-80.498131,370006
10001,43.440813,-80.498297,370007
10001,43.440350,-80.498774,370008
10001,43.440350,-80.498774,380001
10001,43.440217,-80.498911,380002
10001,43.439428,-80.499701,380003
10001,43.439168,-80.499966,380004
10001,43.439168,-80.499966,390001
10001,43.438753,-80.500388,390002
10001,43.438634,-80.500782,390003
10001,43.438590,-80.501164,390004
