stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1071,1071,River / Ottawa,,  43.451402, -80.444563,,,0,,1
1072,1072,River / Path To Breckenridge,,  43.453353, -80.445830,,,0,,1
1073,1073,River / Halliwell,,  43.457679, -80.450414,,,0,,1
1074,1074,River / Manchester,,  43.458799, -80.454866,,,0,,1
1076,1076,Frederick / River,,  43.461921, -80.461958,,,0,,1
1077,1077,Frederick / Lois,,  43.461176, -80.464350,,,0,,1
1079,1079,Frederick / Bruce,,  43.460067, -80.467858,,,0,,1
1080,1080,Frederick / Edna,,  43.458514, -80.472755,,,0,,1
1081,1081,Frederick / Ann,,  43.459366, -80.470090,,,0,,1
1082,1082,Frederick / Filbert,,  43.456523, -80.476616,,,0,,1
1083,1083,Union / Devitt,,  43.463615, -80.509811,,,0,,1
1084,1084,Frederick / Gordon,,  43.454783, -80.479894,,,0,,1
1085,1085,Frederick / Lancaster,,  43.453506, -80.482377,,,0,,1
1086,1086,Frederick / Irvin,,  43.452399, -80.484438,,,0,,1
1088,1088,Frederick / King,,  43.449417, -80.487668,,,0,,1
1089,1089,Benton / Charles,,  43.448576, -80.488354,,,0,,1
1090,1090,University / Seagram,,  43.469279, -80.538619,,,0,,1
1091,1091,Union / Weber,,  43.465072, -80.506287,,,0,,1
1092,1092,Union / Weber,,  43.465173, -80.505466,,,0,,1
1093,1093,Columbia / Phillip,,  43.476816, -80.540812,,,0,,1
1094,1094,Columbia / U.W. Optometry,,  43.475516, -80.544382,,,0,,1
1095,1095,Ira Needles / Victoria,,  43.429185, -80.553306,,,0,,1
1096,1096,Columbia / Village 1,,  43.473156, -80.550990,,,0,,1
1097,1097,Columbia / Ron Eydt Village,,  43.471570, -80.555391,,,0,,1
1098,1098,Columbia / Old Post,,  43.470128, -80.559605,,,0,,1
1099,1099,Columbia / Beechlawn,,  43.469592, -80.561084,,,0,,1
1100,1100,Columbia / Fischer-Hallman,,  43.466991, -80.568294,,,0,,1
1101,1101,Ira Needles / Victoria,,  43.429414, -80.553171,,,0,,1
1102,1102,Columbia / Gatestone,,  43.465334, -80.572942,,,0,,1
1104,1104,Columbia / Cavendish,,  43.464006, -80.576783,,,0,,1
1105,1105,Columbia / Erbsville,,  43.462463, -80.580775,,,0,,1
1106,1106,Erbsville / Willow Wood,,  43.465168, -80.584193,,,0,,1
1107,1107,Laurelwood / Erbsville,,  43.471456, -80.592470,,,0,,1
1108,1108,Laurelwood / Birchmount,,  43.472751, -80.589507,,,0,,1
1109,1109,Laurelwood / Brookmill,,  43.472042, -80.585098,,,0,,1
1110,1110,Laurelwood / Beaver Creek Crescent,,  43.471615, -80.581589,,,0,,1
